pi01    183,95,700,875
pi02    183,95,700,875
pi03    70,55,345,410
pi04    183,95,700,875
pi05    183,95,700,875
pi06    183,95,700,875
pi07    154,50,315,395
pi08    81,98,735,807
pi09    175,82,657,790
pi10    205,80,615,783
pi11    175,88,616,802
pi12    183,95,700,875
pi13    164,84,711,860
pi14    164,84,711,860
pi15    164,84,711,860
pi16    164,84,711,860
pi17    164,124,711,910
pi18    164,84,711,860
pi19    164,84,711,860
pi20    164,84,711,860
pi21    164,84,711,860
pi22    164,84,711,860
pi23    164,84,711,860
pi24    164,84,711,860
