Pi,Tank,x0,y0,x1,y1,w,h,Crop?,Empty,video
13,0,62,31,408,454,346,423,1,1,pi13.2022.10.30.batch.trex.crop.mp4
13,1,410,13,762,453,352,440,1,0,pi13.2022.10.30.batch.trex.crop.mp4
13,2,59,460,410,888,351,428,1,0,pi13.2022.10.30.batch.trex.crop.mp4
13,3,406,457,765,891,359,434,1,0,pi13.2022.10.30.batch.trex.crop.mp4
14,0,45,10,403,441,358,431,1,0,pi14.2022.08.23.batch.trex.crop.mp4
14,1,393,7,752,437,359,430,1,1,pi14.2022.08.23.batch.trex.crop.mp4
14,2,53,448,410,869,357,421,1,0,pi14.2022.08.23.batch.trex.crop.mp4
14,3,402,443,757,862,355,419,1,1,pi14.2022.08.23.batch.trex.crop.mp4
15,0,35,8,384,439,349,431,1,0,pi15.2022.11.15.batch.trex.crop.mp4
15,1,385,5,731,443,346,438,1,0,pi15.2022.11.15.batch.trex.crop.mp4
15,2,40,437,385,858,345,421,1,0,pi15.2022.11.15.batch.trex.crop.mp4
15,3,382,440,727,864,345,424,1,0,pi15.2022.11.15.batch.trex.crop.mp4
16,0,55,9,396,417,341,408,1,0,pi16.2022.09.07.batch.trex.crop.mp4
16,1,396,0,739,413,343,413,1,0,pi16.2022.09.07.batch.trex.crop.mp4
16,2,58,423,399,845,341,422,1,0,pi16.2022.09.07.batch.trex.crop.mp4
16,3,397,416,739,851,342,435,1,0,pi16.2022.09.07.batch.trex.crop.mp4
17,0,159,160,501,575,342,415,1,1,pi17.2022.11.15.batch.trex.crop.mp4
17,1,498,156,854,578,356,422,1,0,pi17.2022.11.15.batch.trex.crop.mp4
17,2,155,584,508,1011,353,427,1,0,pi17.2022.11.15.batch.trex.crop.mp4
17,3,502,579,856,1010,354,431,1,0,pi17.2022.11.15.batch.trex.crop.mp4
18,0,63,21,418,437,355,416,1,0,pi18.2022.09.07.batch.trex.crop.mp4
18,1,405,6,761,420,356,414,1,0,pi18.2022.09.07.batch.trex.crop.mp4
18,2,78,445,428,873,350,428,1,0,pi18.2022.09.07.batch.trex.crop.mp4
18,3,422,430,779,857,357,427,1,0,pi18.2022.09.07.batch.trex.crop.mp4
19,0,63,23,404,459,341,436,1,0,pi19.2022.08.14.batch.trex.crop.mp4
19,1,401,38,759,470,358,432,1,0,pi19.2022.08.14.batch.trex.crop.mp4
19,2,27,443,393,884,366,441,1,0,pi19.2022.08.14.batch.trex.crop.mp4
19,3,376,456,741,898,365,442,1,0,pi19.2022.08.14.batch.trex.crop.mp4
15,0,41,2,381,416,340,414,1,0,pi15.2022.08.11.batch.trex.crop.mp4
15,1,381,2,709,421,328,419,1,0,pi15.2022.08.11.batch.trex.crop.mp4
15,2,38,414,378,838,340,424,1,0,pi15.2022.08.11.batch.trex.crop.mp4
15,3,384,414,709,840,325,426,1,0,pi15.2022.08.11.batch.trex.crop.mp4
